stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\source\repos\GullinoAgus\TP2EDA\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Admin\source\repos\GullinoAgus\TP2EDA\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.6
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00175] Also searching C:\Users\Admin\source\repos\GullinoAgus\TP2EDA\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00264] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00350] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:763  load_library_at_path             [   0.02149] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.18029] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1778 d3d_create_display_locked        [   0.18183] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1779 d3d_create_display_locked        [   0.18207] al_display=00E08798
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.18226] al_display->vt=00DCCDC8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.22031] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.22068] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.22094] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.22117] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.22141] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.22157] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.22175] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.22192] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.22209] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.22230] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.22246] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.22260] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.22276] Score is : 897
